name.basgra,name.bethy,unit.basgra,unit.bethy,conv2bethy,long_name
DAVTMP,,,,,
CLV,leaf_carbon_content,g m-2,kg m-2,0.001,Leaf carbon content
CLVD,dead_leaf_carbon_content,g m-2,kg m-2,0.001,Dead leaf carbon content
YIELD_LAST,CropYield,g m-2,kg m-2,0.001,Last crop yield
CRES,reserve_carbon_content,g m-2,kg m-2,0.001,Reserve carbon
CRT,root_carbon_content,g m-2,kg m-2,0.001,Root carbon
CST,stem_carbon_content,g m-2,kg m-2,0.001,Stem carbon
CSTUB,stubble_carbon_content,g m-2,kg m-2,0.001,Stubble carbon
DRYSTOR,,,,,
Fdepth,,,,,
LAI,LAI,,,1,Leaf Area Index
LT50,,,,,
O2,,,,,
PHEN,,,,,
ROOTD,,,,,
Sdepth,,,,,
TANAER,,,,,
TILG,,,,,
TILV,,,,,
WAL,,,,,
WAPL,,,,,
WAPS,,,,,
WAS,,,,,
WETSTOR,,,,,
DM,,,,,
RES,,,,,
LERG,,,,,
NELLVG,,,,,
RLEAF,,,,,
SLA,,,,,
TILTOT,,,,,
FRTILG,,,,,
FRTILG1,,,,,
FRTILG2,,,,,
RDRT,,,,,
VERN,,,,,
CLITT,,,,,
CSOMF,,,,,
CSOMS,,,,,
NLITT,,,,,
NSOMF,,,,,
NSOMS,,,,,
NMIN,,,,,
Rsoil,,,,,
NemissionN2O,,,,,
NemissionNO,,,,,
Nfert,,,,,
Ndep,,,,,
RWA,,,,,
NSH,,,,,
GNSH,,,,,
DNSH,,,,,
HARVNSH,,,,,
NCSH,,,,,
NCGSH,,,,,
GPP,,,,,
NCHARVSH,,,,,
fNgrowth,,,,,
RGRTV,,,,,
FSPOT,,,,,
RESNOR,,,,,
TV2TIL,,,,,
NSHNOR,,,,,
unused1,,,,,
CVEG,,,,,
DMLV,,,,,
DMST,,,,,
NSH_DMSH,,,,,
Nfert_TOT,,,,,
YIELD_TOT,,,,,
DM_MAX,,,,,
F_PROTEIN,,,,,
F_ASH,,,,,
F_WALL_DM,,,,,
F_WALL_DMSH,,,,,
F_WALL_LV,,,,,
F_WALL_ST,,,,,
F_DIGEST_DM,,,,,
F_DIGEST_DMSH,,,,,
F_DIGEST_LV,,,,,
F_DIGEST_ST,,,,,
F_DIGEST_WALL,,,,,
RDRS,,,,,
RAIN,,,,,
Nleaching,,,,,
NSHmob,,,,,
NSHmobsoil,,,,,
Nfixation,,,,,
Nupt,,,,,
Nmineralisation,,,,,
NSOURCE,,,,,
NSINK,,,,,
NRT,,,,,
NCRT,,,,,
rNLITT,,,,,
rNSOMF,,,,,
DAYL,,,,,
WTD,,,,,
sum_CLit1,,,,,
sum_CLit2,,,,,
sum_CSom1,,,,,
sum_CSom2,,,,,
sum_CSom3,,,,,
sum_NLit1,,,,,
sum_NLit2,,,,,
sum_NSom1,,,,,
sum_NSom2,,,,,
sum_NSom3,,,,,
sum_DOC,,,,,
sum_NH4,,,,,
sum_NO3,,,,,
sum_H2,,,,,
unused2,,,,,
sum_Urea,,,,,
sum_NH4NO3,,,,,
sum_Acetate,,,,,
sum_CH4_pool,,,,,
sum_CH4,,,,,
sum_CO2,SoilResp,g m-2 d-1,kg m-2 s-1,1.15740740740741E-08,Heterotrophic respiration
sum_N2O,,,,,
sum_N2,,,,,
sum_NH3,,,,,
sum_LeachC,,,,,
sum_LeachN,,,,,
ECORES,,,,,
sum_CO2Litt,,g m-2 d-1
,NEE,kg m-2 s-1,,,Net Ecosystem Exchange
